text,sub_emotion,intensity,emotion,emotion_encoded,sub_emotion_encoded,intensity_encoded
"2, 3.",neutral,mild,neutral,4,20,0
She's not even trying at all.,disapproval,moderate,disgust,1,10,1
It's a competition.,neutral,mild,neutral,4,20,0
Your nerves are like...,nervousness,mild,fear,2,19,0
A little bit of variation.,neutral,mild,neutral,4,20,0
Move your arms around.,neutral,mild,neutral,4,20,0
We've got that one.,approval,mild,happiness,3,4,0
You okay honey?,caring,moderate,happiness,3,5,1
"This is like my first time, so",nervousness,mild,fear,2,19,0
"I just feel like, I don't know.",confusion,moderate,surprise,6,6,1
This is a competition.,neutral,mild,neutral,4,20,0
We're supposed not to break down,optimism,moderate,happiness,3,21,1
"the very first time, right?",nervousness,mild,fear,2,19,0
"If Layla cannot take in the first week,",neutral,mild,neutral,4,20,0
how about the next week and the next week?,curiosity,mild,happiness,3,7,0
"Hey, do you not want to be here?",curiosity,mild,happiness,3,7,0
Layla? What's going on?,curiosity,mild,happiness,3,7,0
I don't know.,confusion,moderate,surprise,6,6,1
It's just this thing that comes over.,confusion,moderate,surprise,6,6,1
Do you want,curiosity,mild,happiness,3,7,0
to be here?,curiosity,mild,happiness,3,7,0
"Let me hear you say, I want to be here.",curiosity,mild,happiness,3,7,0
"Please, that's what I want to hear you say.",desire,moderate,happiness,3,8,1
I don't know what to say.,confusion,moderate,surprise,6,6,1
You can't answer me?,annoyance,moderate,anger,0,3,1
Do you want to try again?,neutral,mild,neutral,4,20,0
No?,disappointment,mild,sadness,5,9,0
I'm sorry to hear that.,neutral,mild,neutral,4,20,0
"Two, you're up.",neutral,mild,neutral,4,20,0
"Ready, one, two, three, go.",excitement,mild,happiness,3,13,0
Wow.,surprise,mild,surprise,6,27,0
That was really cool.,admiration,moderate,happiness,3,0,1
Whoa.,surprise,mild,surprise,6,27,0
When I focus,neutral,mild,neutral,4,20,0
"in the shoes,",neutral,mild,neutral,4,20,0
I really forget anything about me.,relief,mild,happiness,3,24,0
Wait.,surprise,mild,surprise,6,27,0
Only a few instances,neutral,mild,neutral,4,20,0
"where you get to tell a photographer,",neutral,mild,neutral,4,20,0
"wait, we'll give you this one.",neutral,mild,neutral,4,20,0
"When I jump,",neutral,mild,neutral,4,20,0
I need to wait to get the energy,neutral,mild,neutral,4,20,0
to do it again.,neutral,mild,neutral,4,20,0
Go.,excitement,mild,happiness,3,13,0
"It's awkward, but it's kind of amazing.",amusement,mild,happiness,3,1,0
"One, two,",neutral,mild,neutral,4,20,0
"three, go.",excitement,mild,happiness,3,13,0
You tell me when I,nervousness,mild,fear,2,19,0
go. You tell me.,nervousness,mild,fear,2,19,0
It got a bit tense when two were shooting.,nervousness,moderate,fear,2,19,1
Every professional knows that,neutral,mild,neutral,4,20,0
when you,neutral,mild,neutral,4,20,0
are a bit too firm over and over,disapproval,mild,disgust,1,10,0
"again with someone,",disapproval,mild,disgust,1,10,0
it might look rude.,disapproval,moderate,disgust,1,10,1
"When he's ready,",neutral,mild,neutral,4,20,0
you need to be ready too.,neutral,mild,neutral,4,20,0
"Dorothy,",neutral,mild,neutral,4,20,0
I feel like you have the same issue as Cindy.,neutral,mild,neutral,4,20,0
"You both have gorgeous, sweet faces.",admiration,mild,happiness,3,0,0
I need some more fierceness.,desire,moderate,happiness,3,8,1
This competition for model,neutral,mild,neutral,4,20,0
is not for,neutral,mild,neutral,4,20,0
"hot girl, not for beautiful thing.",disapproval,mild,disgust,1,10,0
It's not,neutral,mild,neutral,4,20,0
because you cannot do it.,neutral,mild,neutral,4,20,0
So after talking to,neutral,mild,neutral,4,20,0
"two, I think that",neutral,mild,neutral,4,20,0
I feel so much better,relief,moderate,happiness,3,24,1
and I want to continue this.,optimism,moderate,happiness,3,21,1
I want to continue,optimism,moderate,happiness,3,21,1
running in this competition.,optimism,moderate,happiness,3,21,1
So I heard you're going to give it another go.,optimism,moderate,happiness,3,21,1
I'm so proud of you.,pride,moderate,happiness,3,22,1
Don't be sorry if you don't do it again.,neutral,mild,neutral,4,20,0
Let's go. You've got three minutes.,excitement,moderate,happiness,3,13,1
Let's go.,excitement,mild,happiness,3,13,0
"One, two, three, go.",excitement,mild,happiness,3,13,0
Energy is amazing.,excitement,moderate,happiness,3,13,1
"You don't have to do much, girl.",neutral,mild,neutral,4,20,0
You look like you're jumping already,amusement,mild,happiness,3,1,0
because you're so tall and skinny.,amusement,mild,happiness,3,1,0
"Three, go.",neutral,mild,neutral,4,20,0
"One, two, three, go.",neutral,mild,neutral,4,20,0
I feel my mind is clearer now.,relief,moderate,happiness,3,24,1
Turn your face a little bit this way.,neutral,mild,neutral,4,20,0
"If I'm running for the competition still,",optimism,moderate,happiness,3,21,1
I would try my best,optimism,moderate,happiness,3,21,1
and continue to run,optimism,moderate,happiness,3,21,1
for this competition.,optimism,moderate,happiness,3,21,1
Time's up. Good job.,approval,mild,happiness,3,4,0
"Welcome, ladies,",neutral,mild,neutral,4,20,0
to your very first elimination.,nervousness,moderate,fear,2,19,1
To say this week has been eventful,neutral,mild,neutral,4,20,0
would be an understatement.,neutral,mild,neutral,4,20,0
"Now, before we determine",neutral,mild,neutral,4,20,0
who's moving on,curiosity,mild,happiness,3,7,0
"and who's moving out,",curiosity,mild,happiness,3,7,0
let me first introduce you to your judges.,neutral,mild,neutral,4,20,0
"First up, the ever-radiant",admiration,mild,happiness,3,0,0
"model, actress, and Miss Universe",admiration,mild,happiness,3,0,0
"2015, Pia Wurtzbach.",admiration,mild,happiness,3,0,0
"Hi, girls.",neutral,mild,neutral,4,20,0
He was your photographer,neutral,mild,neutral,4,20,0
"for your very first photo challenge,",neutral,mild,neutral,4,20,0
Joel Lim.,neutral,mild,neutral,4,20,0
Ladies.,neutral,mild,neutral,4,20,0
"And let's not forget your model mentor,",neutral,mild,neutral,4,20,0
"Hey, girls.",neutral,mild,neutral,4,20,0
"Now, ladies, each of you standing here",neutral,mild,neutral,4,20,0
before us was hand-picked from,pride,mild,happiness,3,22,0
all across Asia.,pride,mild,happiness,3,22,0
You're here because we believe that each and,approval,moderate,happiness,3,4,1
every single one of you has a very good chance,optimism,moderate,happiness,3,21,1
of winning this.,optimism,moderate,happiness,3,21,1
"And on that note, let's get to your prizes.",excitement,moderate,happiness,3,13,1
The winner of Asia's Next Top Model,excitement,strong,happiness,3,13,2
will be driving home a brand-new,excitement,moderate,happiness,3,13,1
Subaru Impreza.,excitement,moderate,happiness,3,13,1
She will feature in a fashion spread and rock,excitement,moderate,happiness,3,13,1
the cover of Nylon Singapore.,excitement,moderate,happiness,3,13,1
And she will head to Europe for a chance,excitement,moderate,happiness,3,13,1
to be represented by one of the world's biggest,admiration,moderate,happiness,3,0,1
"modeling agencies, Storm Model",admiration,moderate,happiness,3,0,1
"Management, joining the likes of Kate Moss",admiration,moderate,happiness,3,0,1
and Cara Delevingne.,admiration,moderate,happiness,3,0,1
"Now, this season, we will be combining your",neutral,mild,neutral,4,20,0
challenge scores to your photoshoot,neutral,mild,neutral,4,20,0
scores in order to determine who stays,neutral,mild,neutral,4,20,0
and who goes.,neutral,mild,neutral,4,20,0
"Are you ready, ladies?",excitement,mild,happiness,3,13,0
Let's get started.,neutral,mild,neutral,4,20,0
"Can we have Alicia, please?",neutral,mild,neutral,4,20,0
"Well, let's take a look at your shot.",neutral,mild,neutral,4,20,0
You came on,neutral,mild,neutral,4,20,0
with so much energy,admiration,moderate,happiness,3,0,1
that at times you seem,neutral,mild,neutral,4,20,0
completely out of control.,disapproval,moderate,disgust,1,10,1
I love your look.,admiration,moderate,happiness,3,0,1
You have a masculinity about you,neutral,mild,neutral,4,20,0
which can be your strength,approval,mild,happiness,3,4,0
if you use it right.,neutral,mild,neutral,4,20,0
"Angelica, please.",neutral,mild,neutral,4,20,0
Your face is just,neutral,mild,neutral,4,20,0
a bit dead. It's not really smiling.,disappointment,moderate,sadness,5,9,1
It's not really high fashion.,disapproval,moderate,disgust,1,10,1
You let your nerves get the better of you.,disapproval,moderate,disgust,1,10,1
I feel like this was a lucky,disapproval,mild,disgust,1,10,0
shot for you.,neutral,mild,neutral,4,20,0
I love the shot from the head down.,admiration,moderate,happiness,3,0,1
Your eyes are,neutral,mild,neutral,4,20,0
almost dead. You're still so,disappointment,moderate,sadness,5,9,1
young and that's why you're not,neutral,mild,neutral,4,20,0
being able to translate other,neutral,mild,neutral,4,20,0
emotions other than your typical,neutral,mild,neutral,4,20,0
"sweet, your safe zone. Heidi.",neutral,mild,neutral,4,20,0
"Looking at you right now, you look so sweet.",admiration,mild,happiness,3,0,0
And then I look at this one and you just have,surprise,mild,surprise,6,27,0
so much emotion,admiration,moderate,happiness,3,0,1
going through this photo.,neutral,mild,neutral,4,20,0
"If you keep this up, you could be a dark horse in the",optimism,moderate,happiness,3,21,1
competition. Thank you so much.,gratitude,mild,happiness,3,15,0
"Well done, Heidi. Next, can we have Clara, please?",approval,mild,happiness,3,4,0
"You're daddy's little girl,",neutral,mild,neutral,4,20,0
aren't you?,neutral,mild,neutral,4,20,0
"Yes, you are.",neutral,mild,neutral,4,20,0
You are. He gives you,neutral,mild,neutral,4,20,0
everything you want. You're spoiled,disapproval,moderate,disgust,1,10,1
but you're cheeky about it.,amusement,mild,happiness,3,1,0
And that kind of works in this picture.,approval,mild,happiness,3,4,0
You're running away,neutral,mild,neutral,4,20,0
but you're looking back.,curiosity,mild,happiness,3,7,0
You're kind of acting coy but you're leading us on.,amusement,mild,happiness,3,1,0
I really like it.,admiration,moderate,happiness,3,0,1
It's very unexpected from the brief,surprise,mild,surprise,6,27,0
and I like the unexpected. Dorothy.,admiration,mild,happiness,3,0,0
You're also another sweet,admiration,mild,happiness,3,0,0
face. We need a little bit more attitude,disapproval,mild,disgust,1,10,0
from you. We need fierce.,desire,moderate,happiness,3,8,1
I feel like I've seen this post,curiosity,mild,happiness,3,7,0
a lot of times before.,neutral,mild,neutral,4,20,0
You have a gorgeous face and this,admiration,moderate,happiness,3,0,1
photo doesn't do,disappointment,mild,sadness,5,9,0
justice. Jenica.,disappointment,mild,sadness,5,9,0
It's not my favorite photo.,disapproval,mild,disgust,1,10,0
This is one,neutral,mild,neutral,4,20,0
of very few,neutral,mild,neutral,4,20,0
that you're actually in frame.,neutral,mild,neutral,4,20,0
Photographing you was like,neutral,mild,neutral,4,20,0
me trying to give you a high five,amusement,mild,happiness,3,1,0
but then it turns really awkward and we miss.,embarrassment,mild,fear,2,12,0
"We have to work together, alright?",caring,moderate,happiness,3,5,1
To sync up our timings.,neutral,mild,neutral,4,20,0
"Thank you. Can we have Leila, please?",gratitude,mild,happiness,3,15,0
This,neutral,mild,neutral,4,20,0
"photo, it's stunning",admiration,moderate,happiness,3,0,1
but the process getting there,neutral,mild,neutral,4,20,0
was very arduous.,annoyance,mild,anger,0,3,0
I just want to shake you right now,annoyance,moderate,anger,0,3,1
because I don't think you know how good you are.,admiration,moderate,happiness,3,0,1
The biggest,neutral,mild,neutral,4,20,0
critic is yourself.,realization,mild,surprise,6,23,0
That's the only thing,neutral,mild,neutral,4,20,0
standing in your way.,realization,mild,surprise,6,23,0
"Thank you,",gratitude,mild,happiness,3,15,0
Leila.,neutral,mild,neutral,4,20,0
I love your face. I can imagine,admiration,moderate,happiness,3,0,1
doing lots and lots of beauty commercials,optimism,moderate,happiness,3,21,1
with you but I hate that,disapproval,moderate,disgust,1,10,1
photo. It looks like as if,disapproval,moderate,disgust,1,10,1
"you see like an ex-boyfriend and you're going,",amusement,mild,happiness,3,1,0
I would have to disagree.,disapproval,mild,disgust,1,10,0
I love this photo.,admiration,moderate,happiness,3,0,1
Beautiful face.,admiration,moderate,happiness,3,0,1
She looks long so,neutral,mild,neutral,4,20,0
"for me, I like it.",approval,mild,happiness,3,4,0
Zamita.,neutral,mild,neutral,4,20,0
The duck face,amusement,mild,happiness,3,1,0
was there from the very first frame.,neutral,mild,neutral,4,20,0
I feel you have so much,admiration,moderate,happiness,3,0,1
potential. I see you as,admiration,moderate,happiness,3,0,1
"the quirky, awkward,",amusement,mild,happiness,3,1,0
weird model but that,amusement,mild,happiness,3,1,0
could work for you.,optimism,moderate,happiness,3,21,1
But you definitely need to be aware.,caring,mild,happiness,3,5,0
Chicken.,neutral,mild,neutral,4,20,0
"When I first saw you,",curiosity,mild,happiness,3,7,0
you stood out to me.,admiration,mild,happiness,3,0,0
And then your catwalk was amazing,admiration,moderate,happiness,3,0,1
and so I had crazy,neutral,mild,neutral,4,20,0
it was really disappointing.,disappointment,strong,sadness,5,9,2
Your hands were really out of control.,disapproval,moderate,disgust,1,10,1
It's hard to get a good,neutral,mild,neutral,4,20,0
shot of your face. I knew I could have done,neutral,mild,neutral,4,20,0
better. I knew I could have,neutral,mild,neutral,4,20,0
jumped better.,neutral,mild,neutral,4,20,0
You cannot make one little,disapproval,moderate,disgust,1,10,1
mistake make you crash,disapproval,moderate,disgust,1,10,1
down to the very bottom on the first,disapproval,moderate,disgust,1,10,1
week. Okay?,neutral,mild,neutral,4,20,0
Two.,neutral,mild,neutral,4,20,0
I want to say apologize,remorse,mild,sadness,5,25,0
about the shoot yesterday.,remorse,mild,sadness,5,25,0
"Ready. One, two, three, go.",neutral,mild,neutral,4,20,0
I really,nervousness,mild,fear,2,19,0
nervous so I want,nervousness,mild,fear,2,19,0
to say sorry for that.,remorse,mild,sadness,5,25,0
I forgive you.,neutral,mild,neutral,4,20,0
"Look, there is a language",neutral,mild,neutral,4,20,0
barrier here. I can accept that your,neutral,mild,neutral,4,20,0
intentions were good.,neutral,mild,neutral,4,20,0
Do you know what resting,curiosity,mild,happiness,3,7,0
bitch face is?,curiosity,mild,happiness,3,7,0
On that day,neutral,mild,neutral,4,20,0
"itself, when you came on set, it was",neutral,mild,neutral,4,20,0
the most amazing resting bitch face,amusement,moderate,happiness,3,1,1
I've ever seen. And that translated,amusement,moderate,happiness,3,1,1
amazingly well into this photograph.,admiration,moderate,happiness,3,0,1
"Valerie,",neutral,mild,neutral,4,20,0
you say that,neutral,mild,neutral,4,20,0
"you're better at photo shoots, right?",curiosity,mild,happiness,3,7,0
Yes. More than your catwalk.,neutral,mild,neutral,4,20,0
Yes. You did pretty,approval,mild,happiness,3,4,0
"good on your catwalk, so you've got to nail",approval,mild,happiness,3,4,0
this. I hope so.,optimism,mild,happiness,3,21,0
"Okay, well let's see if you did.",neutral,mild,neutral,4,20,0
Yes.,neutral,mild,neutral,4,20,0
Wow,surprise,moderate,surprise,6,27,1
"Yes, wait Farrah you can see",neutral,mild,neutral,4,20,0
"Okay, so I'm about to bring you down from that high horse you are standing on because you are the most challenging to work with",disapproval,strong,disgust,1,10,2
"Oh, no",neutral,mild,neutral,4,20,0
I was giving you direction after direction and Joel had to actually come in and physically move your head,annoyance,moderate,anger,0,3,1
"And for our last girl Veronica, all I have to say is Valerie you take a look at that",neutral,mild,neutral,4,20,0
You kicked your sister's ass in this shit,pride,strong,happiness,3,22,2
This is one of my favorite shots. I'm looking at your face. You're working the outfit. You're playing with it,admiration,strong,happiness,3,0,2
It was a joy to watch you work. You nailed it for me. This is a whole,admiration,moderate,happiness,3,0,1
"New blank slate for both of you, whatever expectations you've had wipe that all clean and start proving yourself",optimism,moderate,happiness,3,21,1
"Again, so thank you, Veronica. Thank you. Thank you guys",gratitude,strong,happiness,3,15,2
"All right, ladies, it's now time for the judges to deliberate and when you come back I'll be announcing who stays and",neutral,mild,neutral,4,20,0
Who'll be going home?,nervousness,moderate,fear,2,19,1
You,neutral,mild,neutral,4,20,0
14 beautiful girls stand before me,neutral,mild,neutral,4,20,0
But I only have 13 photos in my hands,disappointment,mild,sadness,5,9,0
These photos represent the girls who are still in the running towards becoming Asia's Next Top Model,excitement,moderate,happiness,3,13,1
Clara,neutral,mild,neutral,4,20,0
"Congratulations, Clara. Why are you crying?",surprise,mild,surprise,6,27,0
I'm looking for a supermodel. No more spoiled princess from here on out. Do you hear me?,disapproval,moderate,disgust,1,10,1
"Congratulations, you're still in the running towards becoming Asia's Next Top Model",approval,moderate,happiness,3,4,1
Valerie,neutral,mild,neutral,4,20,0
"Yes, you",neutral,mild,neutral,4,20,0
It turns out you're the twin to beat this week interesting congratulations,admiration,moderate,happiness,3,0,1
Maureen,neutral,mild,neutral,4,20,0
Congratulations,approval,mild,happiness,3,4,0
Veronica,neutral,mild,neutral,4,20,0
Congratulations go join your sis,joy,mild,happiness,3,17,0
Chicken,neutral,mild,neutral,4,20,0
Your biggest challenge is going to be yourself. Thank you Heidi. Congratulation,caring,mild,happiness,3,5,0
Dorothy,neutral,mild,neutral,4,20,0
To,neutral,mild,neutral,4,20,0
Smile,neutral,mild,neutral,4,20,0
"Congratulations, you're still in the running towards becoming Asia's Next Top Model, Jenica",approval,moderate,happiness,3,4,1
Who's that I like that sass congratulations,amusement,mild,happiness,3,1,0
Cindy I need a little bit more emotion from you. Thank you so much,disappointment,mild,sadness,5,9,0
Alicia,neutral,mild,neutral,4,20,0
Alicia I look at you and I see strength confidence and fears. You need to soften that find that balance,admiration,moderate,happiness,3,0,1
Layla,neutral,mild,neutral,4,20,0
You had a tough time this week,neutral,mild,neutral,4,20,0
I just want to apologize for not being professional and the emotion is really overwhelming for me,embarrassment,strong,fear,2,12,2
But you're still here,relief,mild,happiness,3,24,0
And you're gonna fight because girl you're still in the running towards becoming Asia's Next Top Model,optimism,moderate,happiness,3,21,1
Must immediately return to the house,neutral,mild,neutral,4,20,0
Pack your bags and leave,sadness,moderate,sadness,5,26,1
Angelica,neutral,mild,neutral,4,20,0
It was a struggle to get a good photo out of you and the best photo that we did was still not on,disappointment,moderate,sadness,5,9,1
Par with what we're looking for at this point,disapproval,mild,disgust,1,10,0
So who stays and who's gonna be going home?,curiosity,moderate,happiness,3,7,1
It's time to find out,curiosity,moderate,happiness,3,7,1
Oh,surprise,mild,surprise,6,27,0
I'm really disappointed myself because I wanted to do this for my mom. I,disappointment,strong,sadness,5,9,2
Really wanted to be the first Filipina to win this,desire,strong,happiness,3,8,2
Maybe I stayed in my comfort zone too much because I was thinking that it's just the beginning of the competition,realization,mild,surprise,6,23,0
Maybe I should have like just shown it at first. My life motto is never give up,optimism,moderate,happiness,3,21,1
"So even though I'm the first girl to get eliminated, I",disappointment,moderate,sadness,5,9,1
Won't give up. I'll stand up after this,optimism,strong,happiness,3,21,2
Next time on Asia's Next Top Model,neutral,mild,neutral,4,20,0
"Yes, we're gossiping. She's beautiful, but she's fake. It cost zero dollar to be real",disapproval,moderate,disgust,1,10,1
